date,1215,1220,1231,1236,1256,1259,1310,1323,1338,1339,1440,1474,1476,1503,1516,1521,1532,1536,1537,1539,1541,1558,1565,1593,1595,1597,1702,1704,1720,1721,1725,1752,1787,1815,2064,2066,2104,2115,2233,2235,2328,2345,2356,2377,2379,2414,2427,2428,2430,2433,2439,2441,2450,2451,2453,2456,2459,2471,2485,2540,2608,2640,2701,2706,2732,2905,2910,2929,3003,3014,3017,3023,3029,3032,3044,3078,3217,3218,3285,3323,3388,3402,3413,3484,3548,3550,3556,3567,3611,3617,3652,4106,4133,4138,4401,4532,4536,4549,4711,4735,4745,4905,4908,4947,4971,4974,4991,4999,5225,5269,5284,5288,5289,5305,5386,5426,5438,5474,5478,5534,5536,5609,5902,6138,6139,6153,6167,6170,6176,6199,6218,6229,6230,6237,6238,6245,6266,6282,6285,6292,6294,6411,6414,6415,6426,6452,6504,6603,6609,6803,8016,8048,8049,8064,8076,8083,8105,8210,8213,8234,8255,8349,8416,8435,8437,8446,8908,9924,9925,9941,9942,9946
1,7.07,41.46,12.5,22.86,13.93,18.73,39.84,8.5,8.88,23.33,26.06,12.67,36.75,15.92,4.78,12.09,10.65,27.25,14.27,16.51,13.19,9.6,12.77,18.87,9.17,87,17.51,36.57,14.13,43.55,12.77,21.75,12.22,16.76,8.24,17.92,5.18,12.69,11.16,18.37,62.5,11.55,8.42,7.71,9.31,9.8,278.5,7.8,907.5,11.91,8.59,7.06,16.12,11.37,18.18,10.89,7.64,9.96,16.58,55.93,14.05,11.91,16.65,16.06,19.08,5.32,44.23,7.51,12.43,12.54,8.07,12.31,11.34,8.59,9.23,6.88,8.77,15.36,34.83,19.36,12.57,10.04,8.45,7.57,13.05,12.53,11.44,10.19,14.33,10.25,29.13,14.74,21.86,13.49,29.24,9.57,17.87,16.79,32.29,15.2,9.4,176.32,10.6,11.31,14.14,8.67,12.04,6.3,8.8,46.68,10.98,9.52,7.99,7.98,39.41,9.54,10.7,8.49,14.43,6.19,26.12,12.14,74.64,10.52,19.87,46.3,3.38,25.14,16.26,18.83,16.6,24.22,8.2,2015,18.4,10.56,9.55,11.27,12.42,8.07,25.36,9.87,25.4,23.34,12.13,13.02,24.48,12.42,7.39,14.25,13.2,15.28,11.38,6.85,53.21,14.44,67.82,8.87,6,9.5,11.81,19.21,12.27,15.05,15.71,12.61,18.16,14.51,12.81,12.48,13.14,28.82
2,7.12,41.67,12.21,22.75,13.83,18.73,40.63,8.47,8.95,23.33,26.35,12.9,36.79,15.96,4.96,12.26,11.02,26.94,14.15,16.25,13.95,9.49,13.66,18.83,9.38,84.67,17.27,36.27,14.03,42.95,12.57,21.64,12.19,16.85,8.04,17.58,5.25,11.96,11.14,18.35,62.78,11.64,8.36,7.88,9.44,9.66,280,7.71,907.5,11.85,8.59,6.98,16.16,10.58,18.09,10.86,7.78,10.09,16.41,55.93,14.11,11.89,16.65,16.15,18.87,5.34,44.42,7.66,12.63,12.65,8.26,12.33,11.34,8.59,9.13,6.88,8.73,15.61,34.61,19.53,12.6,10.16,8.37,7.59,13.15,12.84,11.64,10.05,14.72,10.1,30.38,14.88,21.95,13.54,28.99,9.62,17.72,17.04,32.43,15.12,9.61,179.47,10.67,11.45,14.89,8.62,12.84,6.22,8.76,49.26,10.98,9.82,8.05,8.03,39.71,9.59,10.73,8.99,14.28,6.23,25.95,12.11,74.64,10.46,19.94,45.93,3.38,25.17,16.64,20.13,16.44,24.33,8.8,2020,18.2,10.56,10.07,11.27,12.38,8.01,25.77,10.13,25.58,23.5,12.47,12.9,23.44,12.47,7.73,14.34,13.46,15.42,11.38,6.78,55.64,14.44,66.09,8.84,6.04,9.73,11.81,19.13,12.2,14.98,16.02,12.49,18.21,14.4,12.75,12.23,13.1,28.92
3,7.07,41.38,12.16,22.64,14.04,18.52,40.31,8.5,8.86,23.28,26.63,13.04,38.44,16.02,5.41,12.21,11.53,27.64,13.97,16.62,13.78,9.42,13.88,18.78,9.26,84.33,17.23,36.57,14.26,42.64,12.82,22.11,12.28,16.8,8.47,17.58,5.24,11.96,11.18,18.41,63.61,11.64,8.42,8.1,8.45,9.66,286,7.82,907.5,11.85,8.72,7.05,16.33,10.39,18.18,10.87,7.73,10.26,16.68,55.93,14.2,11.82,16.71,16.19,18.51,5.46,45.77,7.69,12.57,12.84,8.8,12.57,11.41,8.48,9.13,6.93,8.73,15.86,35.11,19.53,12.55,10.24,8.45,7.59,13.08,12.89,11.71,10.71,14.81,10.17,29.23,16.36,22.57,13.68,29.12,9.68,17.72,17.42,32.14,15.28,9.73,181.05,10.63,12.57,15.04,8.98,12.96,6.23,8.76,50.74,10.94,9.91,8.33,8.15,43.68,9.54,10.92,9.88,14.22,6.23,25.81,12.11,74.29,10.36,19.75,46.39,3.35,25.86,16.64,20.13,16.24,24.33,8.72,2085,20,10.56,10.1,11.27,12.34,8.01,26.19,10.09,26,23.3,12.77,12.81,24,12.3,7.66,14.34,13.3,16.76,11.61,6.78,56,14.39,66.82,8.87,6.03,9.03,11.85,18.86,12.2,14.98,17.57,13.73,18.37,15.77,12.84,12.48,13.14,28.63
4,7.07,41.25,12.48,22.91,14.14,18.52,40.31,8.74,9.38,23.19,26.63,13,39.19,16.41,5.43,12.45,12.09,28.47,14.51,17.61,13.7,9.49,13.82,18.52,9.35,84.83,17.32,36.86,14.36,44.05,12.92,22.46,12.58,17.54,8.47,17.58,5.27,11.99,12.29,18.65,64.44,11.72,8.45,8.21,8.44,9.66,290.5,7.89,922.5,11.89,9.59,7.22,16.27,10.54,18.55,11.42,7.78,10.43,17.83,55.74,14.28,12.38,16.71,16.37,18.97,5.54,46.44,7.84,12.85,12.97,9.68,12.69,12.54,8.68,9.23,7.08,8.97,16.04,35.9,19.71,12.62,10.24,8.76,8.34,13.29,12.89,12.26,10.67,15.39,10.31,30,16.36,22.39,14.29,30.84,9.8,17.8,17.56,32.14,15.36,9.83,186.32,10.83,12.21,15.29,9.07,13.23,6.2,9.2,52.77,11.31,10.35,8.66,8.24,48.01,9.63,11.14,10.24,14.54,6.23,26.12,12.18,76.43,10.59,20.32,46.94,3.44,27.07,16.76,20.13,16.49,24.22,8.91,2130,20.44,11.16,9.93,11.43,12.76,8.07,28.76,10.72,27.54,23.5,13.19,13.23,24.55,12.13,7.76,14.61,13.13,17.04,11.65,6.91,59.29,15.33,68,9.16,6.09,9.31,12.03,18.81,12.24,14.98,17.34,14.3,18.37,16.66,12.96,12.9,13.22,29.31
5,7.05,41.25,12.31,22.53,14.04,18.58,40.16,8.63,8.98,23.19,26.35,12.72,37.39,16.41,5.39,12.28,11.58,27.64,14.15,16.16,13.63,9.49,14.23,18.33,9.28,84.33,16.9,36.67,14.1,44,12.87,22.34,12.12,16.95,8.09,17.06,5.22,11.74,11.83,18.54,62.78,11.47,8.19,8.21,8.42,9.66,283.5,7.77,945,11.89,10.02,7.1,16.16,10.4,18.16,10.77,7.74,10.21,17.31,55.74,14.4,12.04,16.71,16.28,18.78,5.41,45.48,7.62,12.65,12.65,9.38,12.33,12.83,8.56,9.41,7.08,9.01,15.61,35.9,19.77,12.62,10.24,8.7,8.87,13.66,12.84,11.96,10.48,14.97,10.14,30.77,16.1,22.12,13.76,30.22,9.82,18.33,17.22,32.29,15.08,9.71,184.74,10.97,12.03,14.75,8.97,12.61,6.14,9.19,50.37,11.36,10.09,8.48,8.2,45.44,9.63,11.03,10.14,14.27,6.27,25.84,12.14,75.71,10.72,20.13,45,3.79,27.76,16.72,21.43,16.39,23.89,8.75,2110,20,10.85,9.76,11.27,12.99,8.1,27.42,10.57,26.98,22.85,12.38,13.11,23.65,12.19,7.66,14.52,13.13,16.36,11.38,7.18,57.14,14.94,66.73,8.9,5.92,9.08,12.12,18.92,12,15,16.72,14.06,18.21,15.86,12.98,12.74,13.1,30.39
6,7.07,41.25,12.21,22.64,14.81,18.52,40.16,8.54,8.93,23.11,26.63,12.83,39.34,16.41,5.61,12.14,11.6,27.92,14.33,14.55,13.61,9.35,15.66,18.29,9.21,84.33,16.83,36.67,14.15,42.77,13.17,22.46,12.25,16.95,7.91,17.15,5.17,11.61,11.65,18.26,62.5,11.47,9.01,8.28,8.29,9.63,284,7.66,945,11.85,9.96,7.09,16.18,10.48,18.18,10.73,7.77,10.21,17.55,60.09,14.36,12.08,16.89,16.55,18.53,5.49,46.63,7.69,12.59,12.81,9.61,12.84,12.64,8.62,9.42,7.03,8.89,15.82,33.99,20.52,12.77,10.32,8.79,8.88,13.7,12.68,11.91,10.67,14.59,10.05,30.77,16.26,22.43,13.78,31.57,9.75,18.25,17.35,32.14,15.32,9.73,192.63,10.93,12.52,14.94,8.78,12.66,6.11,9.06,50.92,11.36,10.14,8.42,8.2,44.41,9.63,10.98,10.45,14.62,6.36,26.19,12.04,73.93,10.78,20.06,44.72,4.04,27.76,16.21,21.43,16.65,23.89,8.73,2120,20.47,10.97,9.76,11.33,13.21,8.16,27.84,10.59,27.08,22.41,12.43,14.19,24.2,12.3,7.49,14.52,13.59,16.17,11.39,7.21,58.93,14.5,67.09,9.01,5.86,8.97,11.86,19.25,11.81,14.8,16.87,14.21,18.37,15.54,13.04,12.77,13.1,30.29
7,7.07,41.21,12.14,22.53,15.06,18.58,40.47,8.45,9.24,23.11,26.35,12.84,38.74,16.39,5.43,12.53,11.95,28.89,14.39,14.48,14.96,9.2,15.1,18.29,9.12,84.33,16.67,36.47,14.28,43.82,13.17,23.13,12.22,17.12,8.02,17.32,5.15,11.49,11.81,18.41,62.78,11.47,8.93,8.44,8.23,9.7,284,7.71,935,12.04,10.58,7.06,16.31,10.43,18.18,10.85,7.86,10.26,17.69,57.13,14.51,11.99,16.95,16.59,18.32,5.5,46.73,7.91,12.63,12.86,9.85,12.96,12.75,8.65,9.41,7.08,9.13,15.96,33.2,20.81,12.79,10.44,8.76,8.66,14.18,12.63,11.62,10.76,14.75,10.29,30.38,16.29,22.57,13.99,31.2,9.84,17.95,17.71,32.14,15.36,9.81,197.89,11.03,12.48,15.36,8.95,12.87,6.13,9.25,54.24,11.18,10.41,8.66,8.35,42.13,9.59,10.98,10.36,16.05,6.31,25.84,12.14,71.79,10.95,20.32,45.09,3.86,27.83,16.38,21.43,16.75,23.89,8.9,2160,20.71,10.74,8.96,11.67,13.05,8.16,28.04,11.41,26.89,22.85,12.38,14.73,24.27,12.58,7.64,14.57,13.82,17.08,11.45,7.25,58.93,14.44,73.73,9.19,5.97,9.06,11.81,19.02,11.87,14.97,16.87,14.09,18.47,16.14,12.98,12.66,13.07,31.08
8,7.28,41.46,12.38,22.31,15.27,18.77,40.63,8.52,10.15,23.28,26.83,13,39.34,16.48,5.43,12.91,12.16,29.86,14.74,14.35,16.45,9.49,15.03,18.54,9.17,86.33,17.02,37.16,14.54,45.41,13.76,24.01,12.45,17.46,8.02,17.66,5.25,12.1,11.93,18.69,64.44,11.68,9.18,8.6,8.63,9.86,299,7.82,942.5,12.19,10.62,7.22,17.02,10.8,18.55,11.38,8.02,10.43,17.88,56.39,14.94,12.18,16.95,16.86,19.27,5.56,47.4,8.35,12.96,13.16,10.28,13.22,13.33,8.97,9.71,7.77,9.48,16.18,34.27,20.87,12.94,10.67,9.63,8.66,14.62,12.63,11.89,10.81,14.84,10.34,31.15,16.45,22.74,14.23,31.57,10.09,18.33,18.43,32.43,15.64,9.85,204.21,11.27,12.97,15.92,9.1,14.15,6.29,9.32,55.72,11.34,10.64,8.79,8.5,42.87,9.59,11.25,10.45,16.94,6.35,26.25,12.25,73.93,11.27,20.76,49.54,3.89,28.62,17.15,21.43,16.39,24.11,9.08,2210,21.12,10.94,9.13,12.3,13.72,8.37,28.25,11.24,27.73,23.22,12.68,14.9,24.48,13.03,7.81,14.66,13.89,17.23,11.87,7.62,59.93,14.61,75.45,9.36,6.36,9.24,12.04,18.84,12.12,14.94,17.26,14.28,18.47,15.89,13.02,12.85,13.22,31.76
9,7.27,41.08,12.55,22.64,15.16,18.77,41.56,8.52,10.59,22.94,26.73,13.42,38.51,16.52,5.33,12.91,12.47,30,14.45,14.46,17.52,9.71,15.05,18.4,9.26,85.67,16.69,37.55,14.82,45.45,13.76,24.18,12.48,17.29,8.04,17.75,5.31,12.48,12.07,18.91,67.78,12.02,9.18,8.68,8.71,9.93,295.5,7.76,985,12.19,10.98,7.33,17.37,10.89,18.64,11.71,8.11,10.26,18.7,58.98,15.04,12.18,16.95,16.81,19.08,5.68,47.12,8.42,13.16,13.51,10.19,13.15,13.22,9.86,9.68,7.66,9.56,16.86,33.76,20.99,12.87,10.83,9.68,8.61,15.07,12.63,11.96,10.81,14.65,10.73,31.83,17.12,23.54,14.74,31.94,10.18,18.55,18.25,32.43,16.08,10.48,203.16,11.27,13.24,15.53,8.97,14.36,6.27,9.37,56.27,11.51,10.65,9.21,8.61,40.29,9.59,11.25,10.79,17.07,6.93,26.63,12.25,73.57,11.24,20.76,48.98,3.99,28.48,16.95,20.78,16.13,24.44,9.08,2215,21.12,11.03,9.06,12.2,13.6,8.46,25.57,11.72,28.1,23.74,12.94,15.23,24.34,13.48,7.73,14.66,13.67,17.75,11.93,7.68,61,14.78,75.27,9.77,6.42,9.29,11.99,18.84,12.11,14.94,17.26,14.34,18.47,15.77,13.12,12.95,13.46,32.35
